시트 페이지 2자리	캐릭터 클래스				아군 / 적군 여부		동일 타입 번호			
07	00	전사			00	아군	00			
	01	도적			01	중립				
	02	마법사			02	적				
	03	성직자							-	-
	04									
	05									
(string)	(string)	(enum)	(enum/null)	(int)	(int)	(int)	(string)			
ID	ItemName	Category	ConsumableType	HealValue	TotalMax	ExpSlotMax	IconPath			
07000000	Old Bandage	Consume	Bandage	10	10	2	Sprite/Item/OldBandage			
07010000	Old Sedative	Consume	Sedative	10	10	2	Sprite/Item/OldSedative			
07020000	Stimulant 	Consume	Stimulant 	0	10	2	Sprite/Item/Stimulant			
07030000	Bandage	Consume	Bandage	20	10	2	Sprite/Item/Bandage			
07040000	Sedative	Consume	Sedative	20	10	2	Sprite/Item/Sedative			
