시트 페이지 2자리	캐릭터 클래스				아군 / 적군 여부		동일 타입 번호			
8	0	전사			0	아군	0			
	1	도적			1	중립				
	2	마법사			2	적				
	3	성직자							-	-
	4									
	5									
	6									
ID	ItemName	Category	BonusSTR	BonusAGI	BonusINT	TotalMax	ExpSlotMax	IconPath		
(string)	(string)	(enum)	(int)	(int)	(int)	(int)	(int)	(string)		
8000000	The Ring of Power	Accessories	5	0	0	1	1	Sprite/Item/Ring_STR		
8010000	The Ring of Agility	Accessories	0	5	0	1	1	Sprite/Item/Ring_AGI		
8020000	The Ring of Intelligence	Accessories	0	0	5	1	1	Sprite/Item/Ring_INT		
8030000	The Ring of Master	Accessories	2	2	2	1	1	Sprite/Item/Ring_Master		
